no_rooms,sqm,yield_on_mortgage_credit_bonds%,price_usd_log,house_age,year,quarter_num,house_type_Farm,house_type_Summerhouse,house_type_Townhouse,house_type_Villa,region_Fyn & islands,region_Jutland,region_Zealand,sales_type_family_sale,sales_type_other_sale,sales_type_regular_sale,"area_Capital, Copenhagen",area_East & mid jutland,area_Fyn & islands,area_North Zealand,area_North jutland,area_Other islands,area_South jutland
1.0,35.0,4.34,12.013706813470414,69.0,2024,3,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
2.0,73.0,4.34,11.274046255019954,78.0,2024,3,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False
5.0,182.0,4.34,12.013706813470414,33.0,2024,3,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
5.0,125.0,4.34,11.784866799472464,98.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
3.0,118.0,4.34,12.460718739865236,96.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,62.0,4.34,12.036179534643145,51.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,130.0,4.34,12.804224846604955,2.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
5.0,114.0,4.34,12.611541086966115,86.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
2.0,83.0,4.34,13.246792721782237,108.0,2024,3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
5.0,204.0,4.34,13.081543466215237,95.0,2024,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,164.0,4.34,12.356649805075568,66.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,90.0,4.34,12.403902491415781,60.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,150.0,4.34,12.323860125621126,132.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
5.0,98.0,4.34,13.83531416565213,67.0,2024,3,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False
4.0,102.0,4.34,12.955129822091815,2.0,2024,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,80.0,4.34,11.967187086434018,38.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,120.0,4.34,13.02860419418272,76.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
7.0,272.0,4.34,12.419169901386761,65.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
2.0,57.0,4.34,13.025303868415518,92.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
4.0,144.0,4.34,12.948012371209098,132.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,103.0,4.34,13.026955392817271,66.0,2024,3,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False
5.0,168.0,4.34,13.576619919522388,53.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
2.0,51.0,4.34,12.728879210331598,68.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
6.0,148.0,4.34,13.507627138738266,77.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
3.0,102.0,4.34,11.472113887062386,65.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,140.0,4.34,12.389647583180738,147.0,2024,3,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
2.0,41.0,4.34,12.25486757159303,70.0,2024,3,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
5.0,107.0,4.34,13.59080453662928,67.0,2024,3,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False
6.0,97.0,4.34,12.356649805075568,95.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
8.0,169.0,4.34,13.444448325847754,90.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
2.0,41.0,4.34,12.795943248635048,92.0,2024,3,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,102.0,4.34,11.560295573719015,26.0,2024,3,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
3.0,92.0,4.34,12.419169901386761,38.0,2024,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
6.0,189.0,4.34,12.323860125621126,73.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,93.0,4.34,12.109016442313738,36.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
5.0,101.0,4.34,12.337105293891872,53.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
6.0,148.0,4.34,13.90626583447433,66.0,2024,3,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False
3.0,106.0,4.34,13.015337030575438,8.0,2024,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
5.0,110.0,4.34,11.320565693461432,122.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,127.0,4.34,13.097047620699986,38.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False
5.0,118.0,4.34,13.39885962108962,69.0,2024,3,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False
